method,pattern,treatment_level,trial,tau_star,tau_hat,error
DC_PR_auto_rank,IID,0.2,0,23.906570454647667,27.48068070893493,0.14950326150158527
MC_NNM_CV,IID,0.2,0,23.906570454647667,23.813732160080434,0.0038833798743049984
CovariancePCA,IID,0.2,0,23.906570454647667,24.063949967728966,0.006583107074260535
DC_PR_auto_rank,IID,0.2,1,23.906570454647667,26.515979460335792,0.10915028613737571
MC_NNM_CV,IID,0.2,1,23.906570454647667,23.36110853462194,0.022816401920154265
CovariancePCA,IID,0.2,1,23.906570454647667,22.297662330074235,0.06729982987838579
DC_PR_auto_rank,IID,0.2,2,23.906570454647667,26.43381768388301,0.10571349972718573
MC_NNM_CV,IID,0.2,2,23.906570454647667,23.555790923641386,0.01467293402337795
CovariancePCA,IID,0.2,2,23.906570454647667,25.112092417371308,0.05042638654551453
DC_PR_auto_rank,Block,0.2,0,23.906570454647667,27.190601404367733,0.13736938788230155
MC_NNM_CV,Block,0.2,0,23.906570454647667,11.535985090957587,0.5174554579946083
CovariancePCA,Block,0.2,0,23.906570454647667,16.672979215743243,0.30257753836448525
DID,Block,0.2,0,23.906570454647667,7.613886299898591,0.6815149076132592
SDID,Block,0.2,0,23.906570454647667,16.446856986453234,0.31203611920605673
SC,Block,0.2,0,23.906570454647667,18.594453874296867,0.22220320519951758
RobustSyntheticControl,Block,0.2,0,23.906570454647667,13.840869356345259,0.42104329089769293
DC_PR_auto_rank,Block,0.2,1,23.906570454647667,26.56476761980269,0.11119107068066487
MC_NNM_CV,Block,0.2,1,23.906570454647667,25.61183636698945,0.07133042840991285
CovariancePCA,Block,0.2,1,23.906570454647667,19.69930545786199,0.17598781074713898
DID,Block,0.2,1,23.906570454647667,25.17385140557804,0.053009734429891944
SDID,Block,0.2,1,23.906570454647667,24.638184670464383,0.030603060242565375
SC,Block,0.2,1,23.906570454647667,25.207498367580204,0.05441717018342225
RobustSyntheticControl,Block,0.2,1,23.906570454647667,28.702705274761417,0.20061994376032866
DC_PR_auto_rank,Block,0.2,2,23.906570454647667,13.96378107152471,0.4159019547360455
MC_NNM_CV,Block,0.2,2,23.906570454647667,24.662081514463736,0.03160265338975839
CovariancePCA,Block,0.2,2,23.906570454647667,11.881287875551495,0.5030116135607541
DID,Block,0.2,2,23.906570454647667,28.209306691929513,0.17998132544542172
SDID,Block,0.2,2,23.906570454647667,21.87904586529757,0.08481034923835874
SC,Block,0.2,2,23.906570454647667,23.988239414234833,0.003416172124818036
RobustSyntheticControl,Block,0.2,2,23.906570454647667,20.098097205864214,0.1593065494696689
DC_PR_auto_rank,Staggered,0.2,0,23.906570454647667,17.98723905598496,0.24760270026568915
MC_NNM_CV,Staggered,0.2,0,23.906570454647667,7.349323678655804,0.69258143100877
CovariancePCA,Staggered,0.2,0,23.906570454647667,-6.729479652076866,1.2814908003991259
DID,Staggered,0.2,0,23.906570454647667,-0.5156750958857802,1.0215704338212814
SDID,Staggered,0.2,0,23.906570454647667,14.505751756827271,0.3932315894349784
SC,Staggered,0.2,0,23.906570454647667,14.333959864204948,0.4004175592062688
RobustSyntheticControl,Staggered,0.2,0,23.906570454647667,15.502806579215964,0.3515252801054921
DC_PR_auto_rank,Staggered,0.2,1,23.906570454647667,29.08591677334639,0.21664949092235053
MC_NNM_CV,Staggered,0.2,1,23.906570454647667,21.728317015036964,0.09111526238123502
CovariancePCA,Staggered,0.2,1,23.906570454647667,23.89529499854135,0.0004716467436309485
DID,Staggered,0.2,1,23.906570454647667,20.691384882551823,0.13448961983883312
SDID,Staggered,0.2,1,23.906570454647667,28.030669255542207,0.17250900996938168
SC,Staggered,0.2,1,23.906570454647667,34.991382654186545,0.46367220344580556
RobustSyntheticControl,Staggered,0.2,1,23.906570454647667,27.01819113569764,0.1301575517472455
DC_PR_auto_rank,Staggered,0.2,2,23.906570454647667,38.87984097726495,0.6263244889526315
MC_NNM_CV,Staggered,0.2,2,23.906570454647667,19.22643352556024,0.1957678094382444
CovariancePCA,Staggered,0.2,2,23.906570454647667,25.9138181282225,0.08396217589564808
DID,Staggered,0.2,2,23.906570454647667,15.23792169827646,0.3626052834644853
SDID,Staggered,0.2,2,23.906570454647667,39.78989925287874,0.6643917758242568
SC,Staggered,0.2,2,23.906570454647667,39.789968658635765,0.6643946790326929
RobustSyntheticControl,Staggered,0.2,2,23.906570454647667,24.367957900115677,0.01929960829568974
DC_PR_auto_rank,Adaptive,0.2,0,23.906570454647667,31.40455248202089,0.3136368740801775
MC_NNM_CV,Adaptive,0.2,0,23.906570454647667,24.158362275399586,0.010532327136992918
CovariancePCA,Adaptive,0.2,0,23.906570454647667,23.446247917319962,0.019255063715683002
DC_PR_auto_rank,Adaptive,0.2,1,23.906570454647667,30.593994890361706,0.2797316515307171
MC_NNM_CV,Adaptive,0.2,1,23.906570454647667,23.014513741109834,0.0373142904470603
CovariancePCA,Adaptive,0.2,1,23.906570454647667,22.47411181883197,0.05991903516789092
DC_PR_auto_rank,Adaptive,0.2,2,23.906570454647667,26.61383662119365,0.11324360270252241
MC_NNM_CV,Adaptive,0.2,2,23.906570454647667,23.78795965508359,0.004961430991914544
CovariancePCA,Adaptive,0.2,2,23.906570454647667,24.68339370484158,0.032494131756271714
