method,pattern,treatment_level,mean_error,std_error
CovariancePCA,Adaptive,0.2,0.197710657143761,0.04930242815523158
CovariancePCA,Block,0.2,0.2031100313792582,0.15035436338154992
CovariancePCA,IID,0.2,0.07049229144893387,0.056340704872452595
CovariancePCA,Staggered,0.2,0.044613398932865304,0.026947823885658296
DC_PR_auto_rank,Adaptive,0.2,0.2763602308298682,0.26326497879243427
DC_PR_auto_rank,Block,0.2,0.23846916080452565,0.07147213991600483
DC_PR_auto_rank,IID,0.2,0.14411926250094367,0.050692435637969796
DC_PR_auto_rank,Staggered,0.2,0.16565853238932438,0.05692946395000832
DID,Block,0.2,0.2817780510712389,0.16317259339138948
DID,Staggered,0.2,0.2622985404926109,0.03066479845367072
MC_NNM_CV,Adaptive,0.2,0.021588164342350624,0.017872183690715873
MC_NNM_CV,Block,0.2,0.1844759511639558,0.1644380104949667
MC_NNM_CV,IID,0.2,0.018820371577649476,0.007546551256337719
MC_NNM_CV,Staggered,0.2,0.12244965072594433,0.12159425074500264
RobustSyntheticControl,Block,0.2,0.1112618423384983,0.07946926325911634
SC,Block,0.2,0.12498256224924077,0.2000971227772806
SDID,Block,0.2,0.10357112009028319,0.11242493986212901
SDID,Staggered,0.2,0.12486728275579939,0.014416353938951253
